chr	start	stop	num	list	COAD	LUAD	BRCAc	PRAD	SKCM	HIGI	SCC	DLBL	MESO	OVCA	SCLC	healthy	clusterID	distinct	num_distinct
1	864370	864424	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	{'4'}	1
1	914764	914772	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	{'2'}	1
1	984232	984388	1	11	0	0	0	0	0	0	0	0	0	0	1	0	2	{'11'}	1
1	986788	987018	1	11	0	0	0	0	0	0	0	0	0	0	1	0	3	{'11'}	1
1	1005200	1005287	1	9	0	0	0	0	0	0	0	0	1	0	0	0	4	{'9'}	1
1	1008681	1008702	1	3	0	0	1	0	0	0	0	0	0	0	0	0	5	{'3'}	1
1	1058596	1058639	1	3	0	0	1	0	0	0	0	0	0	0	0	0	6	{'3'}	1
1	1063057	1063138	1	6	0	0	0	0	0	1	0	0	0	0	0	0	7	{'6'}	1
1	1071382	1071436	1	6	0	0	0	0	0	1	0	0	0	0	0	0	8	{'6'}	1
1	1072462	1072613	1	5	0	0	0	0	1	0	0	0	0	0	0	0	9	{'5'}	1
1	1079710	1079763	1	3	0	0	1	0	0	0	0	0	0	0	0	0	10	{'3'}	1
1	1082563	1082634	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	{'2'}	1
1	1093911	1093973	1	9	0	0	0	0	0	0	0	0	1	0	0	0	12	{'9'}	1
1	1097214	1097271	1	6	0	0	0	0	0	1	0	0	0	0	0	0	13	{'6'}	1
1	1098488	1098579	1	9	0	0	0	0	0	0	0	0	1	0	0	0	14	{'9'}	1
1	1099306	1099450	1	9	0	0	0	0	0	0	0	0	1	0	0	0	15	{'9'}	1
1	1099942	1100123	1	9	0	0	0	0	0	0	0	0	1	0	0	0	16	{'9'}	1
1	1100995	1101047	1	9	0	0	0	0	0	0	0	0	1	0	0	0	17	{'9'}	1
1	1102498	1102499	1	6	0	0	0	0	0	1	0	0	0	0	0	0	18	{'6'}	1
1	1102563	1102587	1	6	0	0	0	0	0	1	0	0	0	0	0	0	19	{'6'}	1
1	1118338	1118446	6	10,12,10,11,12,12	0	0	0	0	0	0	0	0	0	2	1	3	20	{'10', '12', '11'}	3
1	1118503	1118535	1	12	0	0	0	0	0	0	0	0	0	0	0	1	21	{'12'}	1
1	1139149	1139199	1	9	0	0	0	0	0	0	0	0	1	0	0	0	22	{'9'}	1
1	1179723	1179814	1	6	0	0	0	0	0	1	0	0	0	0	0	0	23	{'6'}	1
1	1217057	1217104	1	12	0	0	0	0	0	0	0	0	0	0	0	1	24	{'12'}	1
1	1217160	1217212	1	12	0	0	0	0	0	0	0	0	0	0	0	1	25	{'12'}	1
1	1217342	1217386	1	12	0	0	0	0	0	0	0	0	0	0	0	1	26	{'12'}	1
1	1244850	1244944	1	12	0	0	0	0	0	0	0	0	0	0	0	1	27	{'12'}	1
1	1268687	1268747	1	9	0	0	0	0	0	0	0	0	1	0	0	0	28	{'9'}	1
1	1279652	1279696	1	7	0	0	0	0	0	0	1	0	0	0	0	0	29	{'7'}	1
1	1283443	1283457	1	12	0	0	0	0	0	0	0	0	0	0	0	1	30	{'12'}	1
1	1297476	1297561	1	10	0	0	0	0	0	0	0	0	0	1	0	0	31	{'10'}	1
1	1353570	1353639	1	10	0	0	0	0	0	0	0	0	0	1	0	0	32	{'10'}	1
1	1361594	1361642	1	3	0	0	1	0	0	0	0	0	0	0	0	0	33	{'3'}	1
1	1363054	1363285	1	8	0	0	0	0	0	0	0	1	0	0	0	0	34	{'8'}	1
1	1377525	1377632	1	2	0	1	0	0	0	0	0	0	0	0	0	0	35	{'2'}	1
1	1449145	1449192	1	5	0	0	0	0	1	0	0	0	0	0	0	0	36	{'5'}	1
1	1475285	1475338	1	7	0	0	0	0	0	0	1	0	0	0	0	0	37	{'7'}	1
1	1476256	1476322	1	7	0	0	0	0	0	0	1	0	0	0	0	0	38	{'7'}	1
1	1562331	1562484	1	7	0	0	0	0	0	0	1	0	0	0	0	0	39	{'7'}	1
1	1562950	1563022	1	7	0	0	0	0	0	0	1	0	0	0	0	0	40	{'7'}	1
1	1563751	1563890	1	7	0	0	0	0	0	0	1	0	0	0	0	0	41	{'7'}	1
1	1564642	1564747	1	7	0	0	0	0	0	0	1	0	0	0	0	0	42	{'7'}	1
1	1564809	1564932	1	7	0	0	0	0	0	0	1	0	0	0	0	0	43	{'7'}	1
1	1935049	1935446	1	3	0	0	1	0	0	0	0	0	0	0	0	0	44	{'3'}	1
1	1983195	1983346	1	2	0	1	0	0	0	0	0	0	0	0	0	0	45	{'2'}	1
1	2122025	2122056	1	4	0	0	0	1	0	0	0	0	0	0	0	0	46	{'4'}	1
